#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           43                0
   8 ADD                         6525                0
   9 ADDPD                          4                0
  11 ADDSD                        176                0
  15 ADD_LOCK                       8                0
  31 AND                         2824                0
  33 ANDNPD                         2                0
  35 ANDPD                         30                0
  37 AND_LOCK                      13                0
  63 BSF                          181                0
  64 BSR                           24                0
  65 BSWAP                         62                0
  66 BT                            39                0
  69 BTR                            3                0
  71 BTS                           13                0
  72 BTS_LOCK                       1                0
  73 BZHI                          15                0
  75 CALL_NEAR                   5269                0
  77 CDQ                           12                0
  78 CDQE                         235                0
  81 CLD                            4                0
 109 CMP                         9734                0
 114 CMPSD_XMM                      2                0
 123 CMPXCHG_LOCK                 203                0
 124 COMISD                        23                0
 126 CPUID                         43                0
 127 CQO                            5                0
 141 CVTSI2SD                      41                0
 149 CVTTSD2SI                      1                0
 155 DEC                           25                0
 156 DEC_LOCK                       5                0
 157 DIV                           64                0
 160 DIVSD                         22                0
 161 DIVSS                          3                0
 178 FABS                           2                0
 221 FLD                           18                0
 224 FLDENV                         3                0
 237 FNSTCW                         2                0
 238 FNSTENV                        3                0
 239 FNSTSW                         3                0
 252 FSTP                          17                0
 260 FUCOMI                         1                0
 261 FUCOMIP                        3                0
 264 FWAIT                          3                0
 265 FXAM                           3                0
 266 FXCH                           2                0
 267 FXRSTOR                        1                0
 269 FXSAVE                         1                0
 280 HLT                            7                0
 284 IDIV                          17                0
 285 IMUL                         139                0
 287 INC                          199                0
 289 INCSSPQ                        9                0
 290 INC_LOCK                       6                0
 310 JB                           873                0
 311 JBE                         1681                0
 314 JL                           127                0
 315 JLE                          398                0
 316 JMP                         7063                0
 318 JNB                          760                0
 319 JNBE                        1211                0
 320 JNL                           70                0
 321 JNLE                         774                0
 322 JNO                           21                0
 324 JNS                          132                0
 325 JNZ                         6670                0
 326 JO                            11                0
 327 JP                             4                0
 328 JRCXZ                          2                0
 329 JS                           400                0
 330 JZ                          7082                0
 343 KMOVB                          2                0
 344 KMOVD                        255                0
 345 KMOVQ                          3                0
 352 KORD                           2                0
 355 KORTESTD                      11                0
 371 KUNPCKBW                       2                0
 372 KUNPCKDQ                       2                0
 384 LDDQU                        572                0
 385 LDMXCSR                        4                0
 388 LEA                        10006                0
 389 LEAVE                         14                0
 391 LFENCE                        12                0
 407 LSL                            1                0
 427 MOV                        42258                0
 428 MOVAPD                       134                0
 429 MOVAPS                      3623                0
 430 MOVBE                          8                0
 431 MOVD                          54                0
 436 MOVDQA                      3813                0
 437 MOVDQU                      1656                0
 438 MOVHLPS                        5                0
 439 MOVHPD                        16                0
 440 MOVHPS                        46                0
 442 MOVLPD                        16                0
 444 MOVMSKPD                       3                0
 445 MOVMSKPS                       4                0
 446 MOVNTDQ                      106                0
 454 MOVQ                         468                0
 458 MOVSD_XMM                    274                0
 462 MOVSS                          2                0
 464 MOVSX                        174                0
 465 MOVSXD                       917                0
 466 MOVUPD                         1                0
 467 MOVUPS                       612                0
 468 MOVZX                       2057                0
 472 MUL                           45                0
 473 MULPD                          2                0
 475 MULSD                        232                0
 480 NEG                          224                0
 482 NOP                         8945                0
 491 NOT                           48                0
 493 OR                          1197                0
 494 ORPD                           6                0
 496 OR_LOCK                        7                0
 509 PADDD                          3                0
 510 PADDQ                         10                0
 516 PALIGNR                     1410                0
 517 PAND                        1267                0
 519 PAUSE                          8                0
 526 PCMPEQB                     1669                0
 527 PCMPEQD                       71                0
 534 PCMPGTB                     1200                0
 538 PCMPISTRI                    164                0
 586 PMAXUB                         9                0
 592 PMINUB                       226                0
 593 PMINUD                         9                0
 595 PMOVMSKB                    1228                0
 616 POP                         3328                0
 623 POR                          751                0
 624 PREFETCHNTA                   80                0
 625 PREFETCHT0                   152                0
 626 PREFETCHT1                    64                0
 633 PSHUFB                         6                0
 634 PSHUFD                        20                0
 642 PSLLDQ                       285                0
 649 PSRLDQ                       405                0
 652 PSUBB                        451                0
 654 PSUBQ                          2                0
 664 PUNPCKHDQ                      1                0
 665 PUNPCKHQDQ                     9                0
 667 PUNPCKLBW                     13                0
 668 PUNPCKLDQ                     14                0
 669 PUNPCKLQDQ                   186                0
 670 PUNPCKLWD                      7                0
 671 PUSH                        2764                0
 678 PXOR                         620                0
 686 RDPID                          1                0
 694 RDTSC                          8                0
 695 RDTSCP                        16                0
 740 RET_NEAR                    2652                0
 743 ROL                           29                0
 744 ROR                           44                0
 756 SAR                          180                0
 757 SARX                          30                0
 759 SBB                           82                0
 770 SETB                          16                0
 771 SETBE                          4                0
 772 SETL                           4                0
 773 SETLE                          6                0
 774 SETNB                          8                0
 775 SETNBE                         2                0
 776 SETNL                          3                0
 777 SETNLE                        14                0
 781 SETNZ                         88                0
 782 SETO                           6                0
 786 SETZ                         132                0
 787 SFENCE                        21                0
 796 SHL                          833                0
 797 SHLD                          11                0
 799 SHR                         1010                0
 800 SHRD                          11                0
 801 SHRX                           4                0
 802 SHUFPD                         4                0
 803 SHUFPS                         2                0
 815 STD                            1                0
 818 STMXCSR                        6                0
 826 SUB                         5794                0
 827 SUBPD                          2                0
 829 SUBSD                        144                0
 831 SUB_LOCK                       1                0
 833 SYSCALL                      197                0
 847 TEST                        7592                0
 856 TZCNT                        447                0
 858 UCOMISD                        4                0
 862 UD2                          284                0
 866 UNPCKHPD                       4                0
 868 UNPCKLPD                       3                0
 877 VADDSD                       195                0
 890 VANDNPD                        6                0
 892 VANDPD                        75                0
 898 VBLENDVPD                     14                0
 913 VBROADCASTSS                   1                0
 917 VCMPSD                        16                0
 920 VCOMISD                       41                0
1005 VDIVSD                         6                0
1039 VFMADD132SD                   26                0
1045 VFMADD213SD                   68                0
1051 VFMADD231SD                    5                0
1058 VFMADDSD                      99                0
1074 VFMSUB132SD                    5                0
1102 VFMSUBSD                       5                0
