#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           65                0
   8 ADD                         5579                0
  11 ADDSD                         33                0
  12 ADDSS                          3                0
  15 ADD_LOCK                      14                0
  31 AND                         2684                0
  33 ANDNPD                         1                0
  34 ANDNPS                         1                0
  35 ANDPD                         10                0
  36 ANDPS                          3                0
  37 AND_LOCK                      10                0
  63 BSF                          146                0
  64 BSR                           41                0
  65 BSWAP                         39                0
  66 BT                            54                0
  69 BTR                           13                0
  71 BTS                           27                0
  73 BZHI                          14                0
  75 CALL_NEAR                   7573                0
  77 CDQ                           16                0
  78 CDQE                         214                0
  81 CLD                            1                0
  92 CMC                            1                0
 109 CMP                         9734                0
 114 CMPSD_XMM                      1                0
 123 CMPXCHG_LOCK                 326                0
 124 COMISD                        11                0
 127 CQO                            2                0
 141 CVTSI2SD                      43                0
 142 CVTSI2SS                       3                0
 143 CVTSS2SD                       1                0
 149 CVTTSD2SI                     29                0
 150 CVTTSS2SI                      1                0
 152 CWDE                           1                0
 155 DEC                           10                0
 156 DEC_LOCK                       2                0
 157 DIV                           46                0
 160 DIVSD                          6                0
 161 DIVSS                          4                0
 178 FABS                           7                0
 179 FADD                           2                0
 183 FCHS                           4                0
 193 FCOMI                          9                0
 194 FCOMIP                         2                0
 200 FDIV                           1                0
 201 FDIVP                          2                0
 213 FILD                           2                0
 221 FLD                           63                0
 222 FLD1                           3                0
 224 FLDENV                         6                0
 230 FLDZ                           6                0
 231 FMUL                           6                0
 232 FMULP                          2                0
 237 FNSTCW                         2                0
 238 FNSTENV                        5                0
 239 FNSTSW                         5                0
 252 FSTP                          85                0
 255 FSUBP                          1                0
 257 FSUBRP                         2                0
 260 FUCOMI                         4                0
 261 FUCOMIP                        9                0
 264 FWAIT                          3                0
 265 FXAM                           5                0
 266 FXCH                          20                0
 280 HLT                            6                0
 284 IDIV                          17                0
 285 IMUL                         253                0
 287 INC                           60                0
 289 INCSSPQ                        3                0
 290 INC_LOCK                       5                0
 310 JB                           426                0
 311 JBE                          995                0
 314 JL                           107                0
 315 JLE                          486                0
 316 JMP                         7380                0
 318 JNB                          686                0
 319 JNBE                        1174                0
 320 JNL                           49                0
 321 JNLE                         557                0
 324 JNS                          153                0
 325 JNZ                         6301                0
 326 JO                             6                0
 327 JP                            12                0
 329 JS                           419                0
 330 JZ                          7845                0
 343 KMOVB                          2                0
 344 KMOVD                        464                0
 345 KMOVQ                          2                0
 352 KORD                           4                0
 355 KORTESTD                      14                0
 368 KTESTD                         2                0
 371 KUNPCKBW                       2                0
 372 KUNPCKDQ                       2                0
 385 LDMXCSR                        2                0
 388 LEA                         9093                0
 389 LEAVE                          5                0
 391 LFENCE                         8                0
 407 LSL                            1                0
 417 MAXSD                          3                0
 423 MINSD                          3                0
 427 MOV                        51267                0
 428 MOVAPD                       101                0
 429 MOVAPS                       723                0
 431 MOVD                         113                0
 436 MOVDQA                       297                0
 437 MOVDQU                       388                0
 438 MOVHLPS                        4                0
 440 MOVHPS                        25                0
 444 MOVMSKPD                       4                0
 445 MOVMSKPS                       3                0
 446 MOVNTDQ                       24                0
 454 MOVQ                         354                0
 458 MOVSD_XMM                    122                0
 462 MOVSS                         11                0
 464 MOVSX                        408                0
 465 MOVSXD                       882                0
 467 MOVUPS                       761                0
 468 MOVZX                       2106                0
 472 MUL                           57                0
 475 MULSD                        110                0
 476 MULSS                          3                0
 480 NEG                          524                0
 482 NOP                        10118                0
 491 NOT                           62                0
 493 OR                          1404                0
 494 ORPD                           2                0
 495 ORPS                           1                0
 496 OR_LOCK                        6                0
 508 PADDB                          1                0
 509 PADDD                          6                0
 510 PADDQ                         23                0
 517 PAND                           3                0
 519 PAUSE                          8                0
 526 PCMPEQB                        1                0
 527 PCMPEQD                        4                0
 535 PCMPGTD                        3                0
 547 PEXTRW                         8                0
 595 PMOVMSKB                       2                0
 615 PMULUDQ                        6                0
 616 POP                         5376                0
 625 PREFETCHT0                    36                0
 634 PSHUFD                         7                0
 643 PSLLQ                          2                0
 649 PSRLDQ                         1                0
