              Procedure           Image            Address        Calls Instructions
    __vdso_gettimeofday          [vdso]       7ffccbfc6610            9          567
                  _fini             fft             4bbc10            1            4
__deregister_frame_info             fft             4b9e40            1            2
__deregister_frame_info_bases             fft             4b9d10            1           35
  __register_frame_info             fft             4b9a40            1           34
          strncpy_ifunc             fft             4aee40            1            9
    __strncasecmp_ifunc             fft             4a2840            1            6
     __strcasecmp_ifunc             fft             4a27f0            1            6
   _dl_find_object_init             fft             49e720            1          208
  _dlfo_process_initial             fft             49e190            2          308
_dl_find_object_from_map             fft             49e120            3          161
           strspn_ifunc             fft             49afa0            1            6
          strpbrk_ifunc             fft             49af80            1            6
   __mpn_extract_double             fft             49a930            2           44
            __mpn_mul_1             fft             499890           14          318
           __mpn_rshift             fft             4992f0            2           36
           __mpn_lshift             fft             4991d0            2           32
      _dl_protect_relro             fft             495780            1           20
    _dl_lookup_symbol_x             fft             493e30            5         1171
            do_lookup_x             fft             493160            5          893
            check_match             fft             492fb0            5          240
                __uname             fft             48f2a0            1            6
        __wmemset_ifunc             fft             48d0d0            1            6
        __wmemchr_ifunc             fft             48d030            1            8
         __wcslen_ifunc             fft             48cfc0            1           11
         __strrchr_sse2             fft             48bd90            1           55
                 strsep             fft             48af20            3           52
           memchr_ifunc             fft             48aea0            1            8
          strrchr_ifunc             fft             48adb0            1            8
     __lll_elision_init             fft             4895f0            1           37
    _IO_file_doallocate             fft             487430            1           62
            __printf_fp             fft             47ec30            2           14
          __printf_fp_l             fft             47c000            2         1622
             hack_digit             fft             47bba0           12          396
             _itoa_word             fft             47b930           13         1122
              getrandom             fft             47b890            1            9
          __sigjmp_save             fft             47a320            1            9
            __sigsetjmp             fft             47a2b0            1           23
           __ctype_init             fft             47a250            1           17
      __libc_init_first             fft             46bfe0            1           18
      __libc_early_init             fft             46bf10            1           46
     __libc_init_secure             fft             46bec0            1            5
 _dl_discover_osversion             fft             46bdb0            1           91
   _dl_non_dynamic_init             fft             46a620            1          636
           _dl_aux_init             fft             46a220            1          333
      __tunable_get_val             fft             469e80           30          615
        __tunables_init             fft             469610            1        17903
      __tunable_set_val             fft             4694c0            5          290
          __tls_init_tp             fft             468a80            1           55
      __tls_pre_init_tp             fft             468a30            1           14
_dl_tls_static_surplus_init             fft             467e80            1           37
         _dl_setup_hash             fft             467ce0            1           31
         _dl_get_origin             fft             467090            1           73
         _dl_new_object             fft             466d80            1           89
_dl_add_to_namespace_list             fft             466ce0            1           35
         _dl_init_paths             fft             465840            1          499
    fillin_rpath.isra.0             fft             465400            1          178
expand_dynamic_string_token             fft             465280            2           46
   _dl_debug_initialize             fft             462070            1           25
            __init_misc             fft             461610            1           23
               mprotect             fft             45fde0            1            6
                   sbrk             fft             45fc30            3           71
                  __brk             fft             45fbf0            4           32
       __GI___getrlimit             fft             45fbb0            1           10
                  write             fft             45f140           23          207
              __fstatat             fft             45ef30            1            8
                  fstat             fft             45eef0            1            7
                 getopt             fft             45ec70            1           21
     _getopt_internal_r             fft             45e600            1           88
                  _exit             fft             45d550            1            7
           gettimeofday             fft             45d430            9          189
