              Procedure           Image            Address        Calls Instructions
           __printf_chk       libc.so.6       7f627bf02d50           28          896
                   mmap       libc.so.6       7f627beecbc0            7           63
                 __sbrk       libc.so.6       7f627bee8a10            2           49
                    brk       libc.so.6       7f627bee89d0            2           18
       __close_nocancel       libc.so.6       7f627bee7a10            1            6
                __write       libc.so.6       7f627bee2a20           41          369
                   read       libc.so.6       7f627bee2980          350         2800
               __open64       libc.so.6       7f627bee2690            1           34
              fstatat64       libc.so.6       7f627bee1ee0            2           16
                fstat64       libc.so.6       7f627bee1e80            2           14
                 getopt       libc.so.6       7f627bed6b20            1            9
                  _exit       libc.so.6       7f627beb8c70            1            7
                __bzero       libc.so.6       7f627be92f80            0       926605
                 memcpy       libc.so.6       7f627be928f0        18026       483973
                 valloc       libc.so.6       7f627be73fc0           13          534
            __libc_free       libc.so.6       7f627be73460           29          725
          __libc_malloc       libc.so.6       7f627be73120           30         1294
     __default_morecore       libc.so.6       7f627be70630            2           18
   pthread_mutex_unlock       libc.so.6       7f627be67af0           66         1464
   __pthread_mutex_lock       libc.so.6       7f627be65f70           66         2383
     pthread_mutex_init       libc.so.6       7f627be65640            6          180
      pthread_cond_init       libc.so.6       7f627be61260            1           10
 pthread_cond_broadcast       libc.so.6       7f627be60e70            4           88
   __libc_alloca_cutoff       libc.so.6       7f627be5ea20           11          121
     _IO_unsave_markers       libc.so.6       7f627be5d2b0            1           10
          _IO_flush_all       libc.so.6       7f627be5ce70            2            6
          _IO_sputbackc       libc.so.6       7f627be5c830           26          494
     _IO_default_finish       libc.so.6       7f627be5c7b0            1           16
      _IO_default_uflow       libc.so.6       7f627be5bde0          350         8750
         _IO_doallocbuf       libc.so.6       7f627be5bd10            2           52
               _IO_setb       libc.so.6       7f627be5bca0           16          391
                __uflow       libc.so.6       7f627be5bac0          350        13300
             __overflow       libc.so.6       7f627be5b880           99         1783
 _IO_switch_to_get_mode       libc.so.6       7f627be5b7a0          350         8750
            _IO_link_in       libc.so.6       7f627be5b350            2          110
            _IO_un_link       libc.so.6       7f627be5b330            2            8
      _IO_file_overflow       libc.so.6       7f627be5ae40          120         4018
     _IO_file_underflow       libc.so.6       7f627be5ab30          350        21007
           _IO_do_write       libc.so.6       7f627be5a9b0           41         2542
         _IO_file_fopen       libc.so.6       7f627be5a200            1           56
          _IO_file_open       libc.so.6       7f627be5a110            1           33
        _IO_file_finish       libc.so.6       7f627be5a070            1           13
      _IO_file_close_it       libc.so.6       7f627be59f10            1           53
          _IO_file_read       libc.so.6       7f627be599b0          350         2100
        _IO_file_xsputn       libc.so.6       7f627be59680          109        10066
         _IO_file_write       libc.so.6       7f627be58f40           41         1517
          _IO_file_stat       libc.so.6       7f627be58f30            2            6
        _IO_file_setbuf       libc.so.6       7f627be58620            1           14
         _IO_file_close       libc.so.6       7f627be58610            1            3
          _IO_file_sync       libc.so.6       7f627be584b0            2           36
               _IO_getc       libc.so.6       7f627be55a40            4           76
                putchar       libc.so.6       7f627be50a00            7          329
               _IO_puts       libc.so.6       7f627be4eed0           13          975
               _IO_padn       libc.so.6       7f627be4e720            6          288
            _IO_getline       libc.so.6       7f627be4e590        17665        52995
       _IO_getline_info       libc.so.6       7f627be4e3f0        17665      1126275
              _IO_fopen       libc.so.6       7f627be4d6b0            1           42
              _IO_fgets       libc.so.6       7f627be4d400        17665      1218885
             _IO_fflush       libc.so.6       7f627be4d1b0            3           56
             _IO_fclose       libc.so.6       7f627be4ccf0            1           74
    _IO_file_doallocate       libc.so.6       7f627be4cb90            2          114
