              Procedure           Image            Address        Calls Instructions
           __printf_chk       libc.so.6       7ff333081d50           28          896
                   mmap       libc.so.6       7ff33306bbc0            5           45
                 __sbrk       libc.so.6       7ff333067a10            2           49
                    brk       libc.so.6       7ff3330679d0            2           18
       __close_nocancel       libc.so.6       7ff333066a10            1            6
                __write       libc.so.6       7ff333061a20           41          369
                   read       libc.so.6       7ff333061980           44          352
               __open64       libc.so.6       7ff333061690            1           34
              fstatat64       libc.so.6       7ff333060ee0            2           16
                fstat64       libc.so.6       7ff333060e80            2           14
                 getopt       libc.so.6       7ff333055b20            1            9
                  _exit       libc.so.6       7ff333037c70            1            7
                __bzero       libc.so.6       7ff333011f80            0       112071
                 memcpy       libc.so.6       7ff3330118f0         2262        67821
                 valloc       libc.so.6       7ff332ff2fc0           11          454
            __libc_free       libc.so.6       7ff332ff2460           69         1725
          __libc_malloc       libc.so.6       7ff332ff2120           70         3141
     __default_morecore       libc.so.6       7ff332fef630            2           18
   pthread_mutex_unlock       libc.so.6       7ff332fe6af0          226         4984
   __pthread_mutex_lock       libc.so.6       7ff332fe4f70          226         8143
     pthread_mutex_init       libc.so.6       7ff332fe4640            6          180
      pthread_cond_init       libc.so.6       7ff332fe0260            1           10
 pthread_cond_broadcast       libc.so.6       7ff332fdfe70            4           88
   __libc_alloca_cutoff       libc.so.6       7ff332fdda20           11          121
     _IO_unsave_markers       libc.so.6       7ff332fdc2b0            1           10
          _IO_flush_all       libc.so.6       7ff332fdbe70            2            6
          _IO_sputbackc       libc.so.6       7ff332fdb830           26          494
     _IO_default_finish       libc.so.6       7ff332fdb7b0            1           16
      _IO_default_uflow       libc.so.6       7ff332fdade0           44         1100
         _IO_doallocbuf       libc.so.6       7ff332fdad10            2           52
               _IO_setb       libc.so.6       7ff332fdaca0           16          391
                __uflow       libc.so.6       7ff332fdaac0           44         1672
             __overflow       libc.so.6       7ff332fda880           90         1621
 _IO_switch_to_get_mode       libc.so.6       7ff332fda7a0           44         1100
            _IO_link_in       libc.so.6       7ff332fda350            2          110
            _IO_un_link       libc.so.6       7ff332fda330            2            8
      _IO_file_overflow       libc.so.6       7ff332fd9e40          111         3712
     _IO_file_underflow       libc.so.6       7ff332fd9b30           44         2647
           _IO_do_write       libc.so.6       7ff332fd99b0           41         2542
         _IO_file_fopen       libc.so.6       7ff332fd9200            1           56
          _IO_file_open       libc.so.6       7ff332fd9110            1           33
        _IO_file_finish       libc.so.6       7ff332fd9070            1           13
      _IO_file_close_it       libc.so.6       7ff332fd8f10            1           53
