              Procedure           Image            Address        Calls Instructions
           __printf_chk       libc.so.6       7fa1b55dad50           10          308
                   mmap       libc.so.6       7fa1b55c4bc0            3           27
                 __sbrk       libc.so.6       7fa1b55c0a10            2           49
                    brk       libc.so.6       7fa1b55c09d0            2           18
                __write       libc.so.6       7fa1b55baa20           22          198
              fstatat64       libc.so.6       7fa1b55b9ee0            1            8
                fstat64       libc.so.6       7fa1b55b9e80            1            7
                 getopt       libc.so.6       7fa1b55aeb20            1            9
                  _exit       libc.so.6       7fa1b5590c70            1            7
                 memcpy       libc.so.6       7fa1b556a8f0            6          611
                 valloc       libc.so.6       7fa1b554bfc0           10          416
          __libc_malloc       libc.so.6       7fa1b554b120            2           97
     __default_morecore       libc.so.6       7fa1b5548630            2           18
   pthread_mutex_unlock       libc.so.6       7fa1b553faf0           15          342
   __pthread_mutex_lock       libc.so.6       7fa1b553df70           15          547
     pthread_mutex_init       libc.so.6       7fa1b553d640           70         2100
      pthread_cond_init       libc.so.6       7fa1b5539260            4           40
 pthread_cond_broadcast       libc.so.6       7fa1b5538e70           13          286
   __libc_alloca_cutoff       libc.so.6       7fa1b5536a20            3           33
          _IO_flush_all       libc.so.6       7fa1b5534e70            2            6
         _IO_doallocbuf       libc.so.6       7fa1b5533d10            1           26
               _IO_setb       libc.so.6       7fa1b5533ca0            1           24
             __overflow       libc.so.6       7fa1b5533880           30          541
      _IO_file_overflow       libc.so.6       7fa1b5532e40           40         1363
           _IO_do_write       libc.so.6       7fa1b55329b0           22         1364
        _IO_file_xsputn       libc.so.6       7fa1b5531680           46         5448
         _IO_file_write       libc.so.6       7fa1b5530f40           22          814
          _IO_file_stat       libc.so.6       7fa1b5530f30            1            3
        _IO_file_setbuf       libc.so.6       7fa1b5530620            1           14
          _IO_file_sync       libc.so.6       7fa1b55304b0            1           18
                putchar       libc.so.6       7fa1b5528a00            5          235
               _IO_puts       libc.so.6       7fa1b5526ed0            7          525
               _IO_padn       libc.so.6       7fa1b5526720            8          384
             _IO_fflush       libc.so.6       7fa1b55251b0            2            8
    _IO_file_doallocate       libc.so.6       7fa1b5524b90            1           63
            __printf_fp       libc.so.6       7fa1b55035a0            3           21
                cuserid       libc.so.6       7fa1b55001d0            0          878
              getrandom       libc.so.6       7fa1b54ecc70            1            9
       __call_tls_dtors       libc.so.6       7fa1b54ebd60            1           12
         __cxa_finalize       libc.so.6       7fa1b54eb9a0            2          112
           __cxa_atexit       libc.so.6       7fa1b54eb8c0            1           39
                on_exit       libc.so.6       7fa1b54eb610            0           32
                   exit       libc.so.6       7fa1b54eb5f0            1            8
                 getenv       libc.so.6       7fa1b54eab70            1          245
                _setjmp       libc.so.6       7fa1b54e81e0            1            3
            __sigsetjmp       libc.so.6       7fa1b54e8110            1           31
      __libc_start_main       libc.so.6       7fa1b54cfdc0            1           40
                  _init       libc.so.6       7fa1b54cfc30            1           31
               .plt.sec       libc.so.6       7fa1b54ce390            0          174
               .plt.got       libc.so.6       7fa1b54ce370            0            2
                   .plt       libc.so.6       7fa1b54ce000            0            3
                  _fini libpthread.so.0       7fa1b57d0108            1            4
            frame_dummy libpthread.so.0       7fa1b57d00f0            1            2
  __do_global_dtors_aux libpthread.so.0       7fa1b57d00b0            1           13
     register_tm_clones libpthread.so.0       7fa1b57d0070            1           10
   deregister_tm_clones libpthread.so.0       7fa1b57d0040            1            5
               .plt.got libpthread.so.0       7fa1b57d0030            1            2
                  _init libpthread.so.0       7fa1b57d0000            1            7
    __vdso_gettimeofday          [vdso]       7ffe0ab8d610           11          693
    _dl_catch_exception ld-linux-x86-64.so.2       7fa1c959c300            4          140
      _dl_audit_preinit ld-linux-x86-64.so.2       7fa1c959a680            1            5
      __tunable_get_val ld-linux-x86-64.so.2       7fa1c9596dd0           34          698
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7fa1c95934f0            1          102
        _dl_debug_state ld-linux-x86-64.so.2       7fa1c9582300            2            4
                  .text ld-linux-x86-64.so.2       7fa1c9581090            0           24
               .plt.sec ld-linux-x86-64.so.2       7fa1c9581050            4            8
                  _fini           RADIX       55a402f63f78            1            4
        __libc_csu_init           RADIX       55a402f63f00            1           41
       parmacs_shutdown           RADIX       55a402f63ee8            1            6
          parmacs_setup           RADIX       55a402f63edd            1            6
        parmacs_roi_end           RADIX       55a402f63e31            1           15
      parmacs_roi_begin           RADIX       55a402f63df9            1           15
             slave_sort           RADIX       55a402f627b0            1     10531056
                   init           RADIX       55a402f623c0            1     35913819
            frame_dummy           RADIX       55a402f62080            1            2
  __do_global_dtors_aux           RADIX       55a402f62040            1           13
     register_tm_clones           RADIX       55a402f62000            1           10
   deregister_tm_clones           RADIX       55a402f61fd0            1            5
                 _start           RADIX       55a402f61fa0            1           12
                   main           RADIX       55a402f61320            1         1123
               .plt.sec           RADIX       55a402f611b0            5          326
               .plt.got           RADIX       55a402f611a0            1            2
                  _init           RADIX       55a402f61000            1            7
